event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2000-01-01 00:01:00,2000-01-01 00:08:00,2000-01-01 00:14:00,C1.7,0
2000-01-01 01:06:00,2000-01-01 01:20:00,2000-01-01 01:34:00,C3.1,0
2000-01-01 20:13:00,2000-01-01 20:16:00,2000-01-01 20:20:00,B8.0,8814
2000-01-01 22:45:00,2000-01-01 22:51:00,2000-01-01 23:00:00,C1.2,0
2000-01-02 22:20:00,2000-01-02 22:27:00,2000-01-02 22:37:00,C5.1,8813
2000-01-03 04:13:00,2000-01-03 04:21:00,2000-01-03 04:36:00,C1.3,0
2000-01-03 19:10:00,2000-01-03 19:16:00,2000-01-03 19:22:00,C1.2,0
2000-01-03 23:08:00,2000-01-03 23:13:00,2000-01-03 23:20:00,B6.2,0
2000-01-04 03:10:00,2000-01-04 03:56:00,2000-01-04 05:30:00,B9.2,0
2000-01-04 06:18:00,2000-01-04 06:38:00,2000-01-04 06:45:00,B7.2,0
2000-01-04 09:59:00,2000-01-04 10:04:00,2000-01-04 10:12:00,B4.8,0
2000-01-04 11:09:00,2000-01-04 11:14:00,2000-01-04 11:19:00,C2.0,0
2000-01-04 14:28:00,2000-01-04 14:42:00,2000-01-04 14:54:00,C1.1,0
2000-01-05 01:17:00,2000-01-05 01:36:00,2000-01-05 01:46:00,C2.4,0
2000-01-05 04:07:00,2000-01-05 04:15:00,2000-01-05 04:20:00,C1.0,0
2000-01-05 19:58:00,2000-01-05 22:00:00,2000-01-05 23:12:00,C1.7,0
2000-01-06 06:45:00,2000-01-06 06:53:00,2000-01-06 07:06:00,C5.8,0
2000-01-06 11:12:00,2000-01-06 11:19:00,2000-01-06 11:28:00,B9.3,0
2000-01-06 15:59:00,2000-01-06 16:02:00,2000-01-06 16:04:00,B6.0,0
2000-01-06 18:50:00,2000-01-06 18:54:00,2000-01-06 19:03:00,B9.6,0
2000-01-06 22:15:00,2000-01-06 22:23:00,2000-01-06 22:32:00,C1.6,0
2000-01-07 09:25:00,2000-01-07 09:29:00,2000-01-07 09:33:00,C1.1,0
2000-01-07 11:22:00,2000-01-07 11:28:00,2000-01-07 11:33:00,C3.2,0
2000-01-07 12:59:00,2000-01-07 13:03:00,2000-01-07 13:23:00,C1.2,0
2000-01-07 13:51:00,2000-01-07 13:56:00,2000-01-07 14:02:00,C1.1,0
2000-01-07 15:12:00,2000-01-07 15:15:00,2000-01-07 15:19:00,C1.1,0
2000-01-07 15:23:00,2000-01-07 15:26:00,2000-01-07 15:28:00,B9.9,0
2000-01-07 17:18:00,2000-01-07 17:40:00,2000-01-07 17:51:00,C5.6,0
2000-01-07 18:36:00,2000-01-07 18:59:00,2000-01-07 19:07:00,C2.9,8819
2000-01-07 22:21:00,2000-01-07 22:27:00,2000-01-07 22:32:00,C2.3,0
2000-01-08 04:05:00,2000-01-08 04:18:00,2000-01-08 04:36:00,C2.0,0
2000-01-08 10:20:00,2000-01-08 10:24:00,2000-01-08 10:28:00,C1.2,0
2000-01-08 16:08:00,2000-01-08 16:45:00,2000-01-08 17:16:00,C6.0,0
2000-01-08 22:17:00,2000-01-08 22:30:00,2000-01-08 22:37:00,C1.1,8821
2000-01-09 08:15:00,2000-01-09 08:27:00,2000-01-09 08:51:00,C3.2,8819
2000-01-09 18:58:00,2000-01-09 19:03:00,2000-01-09 19:07:00,C1.5,0
2000-01-09 20:35:00,2000-01-09 20:41:00,2000-01-09 20:45:00,C2.4,8821
2000-01-09 23:36:00,2000-01-09 23:40:00,2000-01-09 23:45:00,C1.4,0
2000-01-10 03:09:00,2000-01-10 03:17:00,2000-01-10 03:24:00,C1.7,0
2000-01-10 05:40:00,2000-01-10 05:46:00,2000-01-10 05:51:00,C1.2,0
2000-01-10 07:38:00,2000-01-10 07:59:00,2000-01-10 08:08:00,B9.7,0
2000-01-10 08:51:00,2000-01-10 09:12:00,2000-01-10 09:28:00,C9.7,8824
2000-01-10 12:46:00,2000-01-10 12:50:00,2000-01-10 12:55:00,C1.3,0
2000-01-10 13:31:00,2000-01-10 13:50:00,2000-01-10 14:08:00,M3.3,0
2000-01-10 15:36:00,2000-01-10 15:44:00,2000-01-10 15:55:00,C5.1,0
2000-01-10 16:42:00,2000-01-10 16:46:00,2000-01-10 16:51:00,C1.3,8824
2000-01-10 18:47:00,2000-01-10 19:02:00,2000-01-10 19:12:00,C1.3,8824
2000-01-10 22:04:00,2000-01-10 22:10:00,2000-01-10 22:27:00,C1.3,0
2000-01-11 01:06:00,2000-01-11 01:16:00,2000-01-11 01:28:00,C9.4,0
2000-01-11 04:13:00,2000-01-11 04:24:00,2000-01-11 04:38:00,M1.5,0
2000-01-11 09:42:00,2000-01-11 09:54:00,2000-01-11 10:24:00,C1.3,0
2000-01-11 15:13:00,2000-01-11 15:17:00,2000-01-11 15:22:00,C1.4,0
2000-01-11 18:12:00,2000-01-11 18:18:00,2000-01-11 18:26:00,C1.5,0
2000-01-11 19:21:00,2000-01-11 19:31:00,2000-01-11 19:44:00,C2.4,0
2000-01-11 20:40:00,2000-01-11 20:48:00,2000-01-11 20:54:00,C2.8,8824
2000-01-11 21:01:00,2000-01-11 21:05:00,2000-01-11 21:08:00,C1.9,8824
2000-01-11 21:43:00,2000-01-11 21:50:00,2000-01-11 21:57:00,C7.5,8829
2000-01-12 00:04:00,2000-01-12 00:17:00,2000-01-12 00:41:00,M1.2,0
2000-01-12 01:32:00,2000-01-12 01:38:00,2000-01-12 01:43:00,M2.8,0
2000-01-12 03:44:00,2000-01-12 04:04:00,2000-01-12 04:17:00,C4.2,8824
2000-01-12 05:42:00,2000-01-12 05:46:00,2000-01-12 05:48:00,C1.5,0
2000-01-12 08:21:00,2000-01-12 08:28:00,2000-01-12 08:38:00,C2.6,0
2000-01-12 08:49:00,2000-01-12 09:07:00,2000-01-12 09:16:00,C4.2,0
2000-01-12 11:35:00,2000-01-12 11:41:00,2000-01-12 11:46:00,C2.8,8828
2000-01-12 13:10:00,2000-01-12 13:14:00,2000-01-12 13:19:00,C2.2,0
2000-01-12 18:15:00,2000-01-12 18:22:00,2000-01-12 18:35:00,C4.2,0
2000-01-12 19:55:00,2000-01-12 19:58:00,2000-01-12 20:02:00,C3.6,8824
2000-01-12 20:36:00,2000-01-12 20:49:00,2000-01-12 20:58:00,M1.1,0
2000-01-12 23:02:00,2000-01-12 23:09:00,2000-01-12 23:22:00,C3.2,8824
2000-01-13 02:43:00,2000-01-13 02:52:00,2000-01-13 03:02:00,C5.5,0
2000-01-13 12:01:00,2000-01-13 12:20:00,2000-01-13 12:39:00,C1.6,0
2000-01-13 13:38:00,2000-01-13 13:44:00,2000-01-13 14:02:00,C1.8,0
2000-01-13 15:10:00,2000-01-13 15:13:00,2000-01-13 15:21:00,C3.5,0
2000-01-13 18:25:00,2000-01-13 18:30:00,2000-01-13 18:41:00,C2.6,8827
2000-01-13 19:00:00,2000-01-13 19:23:00,2000-01-13 19:52:00,C2.4,0
2000-01-13 20:40:00,2000-01-13 20:49:00,2000-01-13 21:06:00,C2.6,8829
2000-01-14 06:40:00,2000-01-14 06:44:00,2000-01-14 06:49:00,C1.9,0
2000-01-14 10:26:00,2000-01-14 11:02:00,2000-01-14 12:12:00,C2.2,0
2000-01-14 17:06:00,2000-01-14 17:11:00,2000-01-14 17:16:00,C6.3,0
2000-01-14 19:35:00,2000-01-14 19:38:00,2000-01-14 19:41:00,C3.3,0
2000-01-14 21:34:00,2000-01-14 21:41:00,2000-01-14 21:49:00,C3.6,0
2000-01-15 01:55:00,2000-01-15 02:00:00,2000-01-15 02:05:00,C4.0,0
2000-01-15 10:29:00,2000-01-15 10:32:00,2000-01-15 10:34:00,C1.9,0
2000-01-15 19:08:00,2000-01-15 19:15:00,2000-01-15 19:21:00,C1.7,8829
2000-01-15 20:11:00,2000-01-15 20:16:00,2000-01-15 20:19:00,C2.8,0
2000-01-16 01:43:00,2000-01-16 01:49:00,2000-01-16 01:57:00,C2.9,0
2000-01-16 19:42:00,2000-01-16 19:45:00,2000-01-16 19:48:00,C1.9,8829
2000-01-17 00:21:00,2000-01-17 00:28:00,2000-01-17 00:38:00,C7.1,0
2000-01-17 05:43:00,2000-01-17 05:55:00,2000-01-17 06:04:00,C3.3,0
2000-01-17 06:15:00,2000-01-17 06:19:00,2000-01-17 06:23:00,C3.1,0
2000-01-17 07:05:00,2000-01-17 07:08:00,2000-01-17 07:11:00,C2.7,0
2000-01-17 09:19:00,2000-01-17 09:24:00,2000-01-17 09:27:00,C2.9,0
2000-01-17 21:44:00,2000-01-17 21:47:00,2000-01-17 21:50:00,C1.7,0
2000-01-18 02:18:00,2000-01-18 02:27:00,2000-01-18 02:39:00,C2.2,0
2000-01-18 08:14:00,2000-01-18 08:19:00,2000-01-18 08:23:00,C2.1,8830
2000-01-18 08:26:00,2000-01-18 08:39:00,2000-01-18 09:08:00,C1.7,0
2000-01-18 09:36:00,2000-01-18 10:08:00,2000-01-18 10:48:00,M1.2,0
2000-01-18 17:07:00,2000-01-18 17:27:00,2000-01-18 17:44:00,M3.9,0
2000-01-18 22:02:00,2000-01-18 22:08:00,2000-01-18 22:10:00,C4.3,0
2000-01-19 01:09:00,2000-01-19 01:39:00,2000-01-19 01:52:00,C1.4,0
2000-01-19 10:30:00,2000-01-19 10:38:00,2000-01-19 10:42:00,C1.4,0
2000-01-19 11:18:00,2000-01-19 11:22:00,2000-01-19 11:24:00,C1.3,8829
2000-01-19 17:55:00,2000-01-19 17:59:00,2000-01-19 18:03:00,C2.4,8824
