event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2016-01-16 01:28:00,2016-01-16 01:31:00,2016-01-16 01:33:00,B3.2,12480
2016-01-16 03:32:00,2016-01-16 03:36:00,2016-01-16 03:39:00,B8.7,12480
2016-01-16 06:40:00,2016-01-16 06:57:00,2016-01-16 07:05:00,B6.0,12480
2016-01-16 11:15:00,2016-01-16 11:18:00,2016-01-16 11:21:00,B4.5,12480
2016-01-16 13:20:00,2016-01-16 13:24:00,2016-01-16 13:27:00,B3.5,12480
2016-01-16 20:05:00,2016-01-16 20:09:00,2016-01-16 20:11:00,B4.2,12480
2016-01-17 10:36:00,2016-01-17 10:49:00,2016-01-17 11:12:00,B3.7,12485
2016-01-18 15:58:00,2016-01-18 16:25:00,2016-01-18 16:36:00,B3.9,12485
2016-01-19 03:28:00,2016-01-19 03:38:00,2016-01-19 03:42:00,B2.6,0
2016-01-19 08:49:00,2016-01-19 09:00:00,2016-01-19 09:06:00,B2.9,12485
2016-01-19 10:33:00,2016-01-19 10:36:00,2016-01-19 10:41:00,B4.1,0
2016-01-19 20:47:00,2016-01-19 21:12:00,2016-01-19 21:44:00,B5.5,0
2016-01-20 00:58:00,2016-01-20 01:02:00,2016-01-20 01:04:00,B3.7,12484
2016-01-20 04:40:00,2016-01-20 04:46:00,2016-01-20 04:52:00,B6.6,12484
2016-01-20 07:30:00,2016-01-20 07:34:00,2016-01-20 07:36:00,C1.3,12484
2016-01-20 08:09:00,2016-01-20 08:13:00,2016-01-20 08:18:00,B4.9,0
2016-01-20 08:45:00,2016-01-20 08:49:00,2016-01-20 09:00:00,B5.2,12484
2016-01-20 09:11:00,2016-01-20 09:18:00,2016-01-20 09:21:00,B8.4,12484
2016-01-20 11:15:00,2016-01-20 11:19:00,2016-01-20 11:24:00,B9.6,12487
2016-01-20 14:25:00,2016-01-20 14:32:00,2016-01-20 14:34:00,C1.3,12487
2016-01-20 16:37:00,2016-01-20 16:40:00,2016-01-20 16:42:00,B4.1,0
2016-01-20 17:04:00,2016-01-20 17:09:00,2016-01-20 17:13:00,B4.8,12487
2016-01-20 17:38:00,2016-01-20 17:41:00,2016-01-20 17:44:00,B3.8,12487
2016-01-21 01:17:00,2016-01-21 01:45:00,2016-01-21 01:53:00,C2.9,12487
2016-01-21 05:36:00,2016-01-21 05:44:00,2016-01-21 05:52:00,C1.3,12488
2016-01-21 08:01:00,2016-01-21 08:13:00,2016-01-21 08:27:00,C1.1,12484
2016-01-21 13:22:00,2016-01-21 13:51:00,2016-01-21 14:19:00,C1.4,12487
2016-01-22 02:23:00,2016-01-22 02:43:00,2016-01-22 02:51:00,B3.8,12484
2016-01-22 23:47:00,2016-01-22 23:52:00,2016-01-22 23:55:00,B7.1,12488
2016-01-23 00:53:00,2016-01-23 00:57:00,2016-01-23 01:04:00,B4.3,12487
2016-01-24 00:01:00,2016-01-24 00:05:00,2016-01-24 00:09:00,B4.5,12487
2016-01-24 04:07:00,2016-01-24 04:55:00,2016-01-24 05:38:00,C1.4,12488
2016-01-24 08:20:00,2016-01-24 08:24:00,2016-01-24 08:30:00,B5.9,12490
2016-01-24 22:12:00,2016-01-24 22:17:00,2016-01-24 22:22:00,B7.4,12488
2016-01-25 06:50:00,2016-01-25 06:54:00,2016-01-25 07:01:00,B8.0,12489
2016-01-25 07:52:00,2016-01-25 07:55:00,2016-01-25 07:57:00,B4.9,12489
2016-01-25 08:14:00,2016-01-25 08:17:00,2016-01-25 08:20:00,B4.6,12489
2016-01-25 09:00:00,2016-01-25 09:07:00,2016-01-25 09:11:00,C1.4,12489
2016-01-25 10:27:00,2016-01-25 10:33:00,2016-01-25 10:35:00,C1.0,12489
2016-01-25 21:54:00,2016-01-25 21:58:00,2016-01-25 22:01:00,B4.7,12489
2016-01-26 01:57:00,2016-01-26 02:01:00,2016-01-26 02:04:00,B5.3,12489
2016-01-26 03:01:00,2016-01-26 03:05:00,2016-01-26 03:10:00,B7.3,12489
2016-01-26 04:53:00,2016-01-26 04:56:00,2016-01-26 04:59:00,B5.3,12489
2016-01-26 17:04:00,2016-01-26 17:15:00,2016-01-26 18:40:00,C1.3,0
2016-01-27 05:26:00,2016-01-27 05:37:00,2016-01-27 05:52:00,B9.4,12489
2016-01-27 13:26:00,2016-01-27 13:30:00,2016-01-27 13:34:00,C1.0,12489
2016-01-27 19:22:00,2016-01-27 19:27:00,2016-01-27 19:33:00,B5.3,12490
2016-01-27 20:28:00,2016-01-27 20:31:00,2016-01-27 20:36:00,B5.2,12490
2016-01-28 03:18:00,2016-01-28 03:22:00,2016-01-28 03:25:00,B6.1,12489
2016-01-28 05:17:00,2016-01-28 05:23:00,2016-01-28 05:28:00,C5.3,12488
2016-01-28 06:52:00,2016-01-28 07:02:00,2016-01-28 07:12:00,C2.8,12488
2016-01-28 11:48:00,2016-01-28 12:02:00,2016-01-28 12:16:00,C9.6,12488
2016-01-28 21:48:00,2016-01-28 21:57:00,2016-01-28 22:02:00,C3.3,12488
2016-01-29 03:14:00,2016-01-29 03:38:00,2016-01-29 04:04:00,B8.7,12490
2016-01-29 04:15:00,2016-01-29 04:29:00,2016-01-29 04:36:00,C2.0,12488
2016-01-29 07:57:00,2016-01-29 08:18:00,2016-01-29 08:26:00,C3.5,12488
2016-01-29 08:03:00,2016-01-29 08:06:00,2016-01-29 08:10:00,C1.0,0
2016-01-29 14:53:00,2016-01-29 15:00:00,2016-01-29 15:11:00,B8.8,12488
2016-01-29 16:33:00,2016-01-29 16:41:00,2016-01-29 16:49:00,C1.2,12488
2016-01-29 17:41:00,2016-01-29 17:44:00,2016-01-29 17:47:00,B4.1,12488
2016-01-29 20:48:00,2016-01-29 21:46:00,2016-01-29 22:57:00,C2.0,0
2016-01-30 21:20:00,2016-01-30 21:25:00,2016-01-30 21:28:00,B9.1,12488
2016-01-31 08:09:00,2016-01-31 08:13:00,2016-01-31 08:16:00,B5.3,12488
2016-01-31 09:56:00,2016-01-31 10:02:00,2016-01-31 10:07:00,B6.0,12488
2016-01-31 15:58:00,2016-01-31 16:01:00,2016-01-31 16:10:00,B4.3,12489
2016-01-31 19:01:00,2016-01-31 19:07:00,2016-01-31 19:11:00,B8.6,12488
2016-01-31 23:41:00,2016-01-31 23:47:00,2016-01-31 23:51:00,B5.6,0
2016-02-01 01:09:00,2016-02-01 01:14:00,2016-02-01 01:17:00,C1.6,0
2016-02-01 03:31:00,2016-02-01 03:36:00,2016-02-01 03:39:00,B9.4,0
2016-02-01 15:15:00,2016-02-01 15:22:00,2016-02-01 15:29:00,B3.9,0
2016-02-01 16:10:00,2016-02-01 16:13:00,2016-02-01 16:17:00,B3.6,0
2016-02-02 04:52:00,2016-02-02 05:00:00,2016-02-02 05:14:00,B4.6,12492
2016-02-02 11:25:00,2016-02-02 11:30:00,2016-02-02 11:37:00,B3.6,0
2016-02-02 14:22:00,2016-02-02 14:52:00,2016-02-02 15:53:00,C1.2,0
2016-02-03 02:09:00,2016-02-03 02:35:00,2016-02-03 02:45:00,B7.8,12490
2016-02-03 04:39:00,2016-02-03 04:59:00,2016-02-03 05:24:00,B6.8,12490
2016-02-03 12:03:00,2016-02-03 12:23:00,2016-02-03 12:42:00,C1.0,12492
2016-02-03 14:47:00,2016-02-03 14:53:00,2016-02-03 15:02:00,C1.0,0
2016-02-03 15:12:00,2016-02-03 15:24:00,2016-02-03 15:31:00,C1.8,0
2016-02-03 16:29:00,2016-02-03 16:34:00,2016-02-03 16:39:00,C1.4,12493
2016-02-03 18:25:00,2016-02-03 18:33:00,2016-02-03 18:40:00,B7.5,12493
2016-02-03 22:05:00,2016-02-03 22:10:00,2016-02-03 22:17:00,C1.1,12493
2016-02-04 02:11:00,2016-02-04 02:15:00,2016-02-04 02:17:00,C1.0,12494
2016-02-04 07:09:00,2016-02-04 07:13:00,2016-02-04 07:16:00,C1.1,12490
2016-02-04 09:16:00,2016-02-04 09:20:00,2016-02-04 09:25:00,B8.9,12494
2016-02-04 12:16:00,2016-02-04 12:21:00,2016-02-04 12:25:00,C2.4,12494
2016-02-04 14:34:00,2016-02-04 14:42:00,2016-02-04 14:48:00,C2.1,12494
2016-02-04 16:44:00,2016-02-04 16:49:00,2016-02-04 16:53:00,C3.6,12494
2016-02-04 18:15:00,2016-02-04 18:22:00,2016-02-04 18:28:00,C5.1,12494
2016-02-04 19:46:00,2016-02-04 19:55:00,2016-02-04 19:59:00,C1.1,12490
2016-02-04 22:39:00,2016-02-04 22:44:00,2016-02-04 22:48:00,B8.6,12494
2016-02-05 00:29:00,2016-02-05 00:33:00,2016-02-05 00:40:00,C1.4,0
2016-02-05 00:49:00,2016-02-05 00:56:00,2016-02-05 01:03:00,C3.0,12494
2016-02-05 03:22:00,2016-02-05 03:26:00,2016-02-05 03:32:00,B8.4,12491
2016-02-05 07:15:00,2016-02-05 07:22:00,2016-02-05 07:30:00,C2.9,12494
2016-02-05 08:45:00,2016-02-05 08:50:00,2016-02-05 08:59:00,B9.3,12490
2016-02-05 13:05:00,2016-02-05 13:11:00,2016-02-05 13:17:00,C1.1,12496
2016-02-05 18:02:00,2016-02-05 18:07:00,2016-02-05 18:13:00,B7.7,12495
2016-02-05 19:00:00,2016-02-05 21:20:00,2016-02-05 23:49:00,C1.0,0
2016-02-06 02:40:00,2016-02-06 03:11:00,2016-02-06 03:30:00,C1.1,12494
2016-02-06 03:56:00,2016-02-06 04:21:00,2016-02-06 04:39:00,B8.5,12494
2016-02-06 15:48:00,2016-02-06 15:51:00,2016-02-06 15:53:00,B6.6,12494
2016-02-06 19:33:00,2016-02-06 19:38:00,2016-02-06 19:42:00,C1.0,12494
2016-02-06 21:48:00,2016-02-06 21:51:00,2016-02-06 21:53:00,B7.8,12494
2016-02-06 22:37:00,2016-02-06 22:44:00,2016-02-06 22:48:00,C1.5,12494
2016-02-07 01:52:00,2016-02-07 01:58:00,2016-02-07 02:03:00,B8.2,12494
2016-02-07 04:39:00,2016-02-07 04:45:00,2016-02-07 04:49:00,C1.7,12496
2016-02-07 06:55:00,2016-02-07 06:58:00,2016-02-07 07:01:00,B7.0,12495
2016-02-07 10:29:00,2016-02-07 10:35:00,2016-02-07 10:41:00,C1.1,12496
2016-02-07 11:54:00,2016-02-07 12:02:00,2016-02-07 12:12:00,C2.7,12496
2016-02-08 03:44:00,2016-02-08 03:47:00,2016-02-08 03:50:00,B6.4,0
2016-02-08 05:22:00,2016-02-08 05:29:00,2016-02-08 05:43:00,C1.6,12492
2016-02-08 08:49:00,2016-02-08 08:52:00,2016-02-08 08:54:00,B5.7,12497
2016-02-08 16:13:00,2016-02-08 16:18:00,2016-02-08 16:31:00,B7.8,12492
2016-02-09 00:26:00,2016-02-09 00:31:00,2016-02-09 00:39:00,B7.4,12492
2016-02-09 05:58:00,2016-02-09 06:01:00,2016-02-09 06:06:00,C1.0,0
2016-02-09 11:58:00,2016-02-09 12:06:00,2016-02-09 12:21:00,B5.6,12492
2016-02-09 12:24:00,2016-02-09 12:28:00,2016-02-09 12:33:00,B6.7,12492
2016-02-09 17:44:00,2016-02-09 17:47:00,2016-02-09 17:49:00,B5.6,12492
2016-02-09 19:26:00,2016-02-09 19:39:00,2016-02-09 19:47:00,B9.1,12494
2016-02-09 21:51:00,2016-02-09 22:05:00,2016-02-09 22:08:00,B6.2,12498
2016-02-10 02:43:00,2016-02-10 02:50:00,2016-02-10 02:55:00,B9.1,12497
2016-02-10 07:50:00,2016-02-10 08:01:00,2016-02-10 08:08:00,B6.3,12497
2016-02-10 14:39:00,2016-02-10 14:42:00,2016-02-10 14:44:00,B4.0,0
2016-02-10 15:12:00,2016-02-10 15:22:00,2016-02-10 15:34:00,C1.3,12497
2016-02-10 20:41:00,2016-02-10 20:48:00,2016-02-10 21:03:00,B5.9,12496
2016-02-10 22:29:00,2016-02-10 22:35:00,2016-02-10 22:43:00,B5.8,12496
2016-02-11 04:08:00,2016-02-11 04:13:00,2016-02-11 04:19:00,B4.7,12497
2016-02-11 16:22:00,2016-02-11 16:49:00,2016-02-11 17:04:00,C2.6,12497
2016-02-11 20:18:00,2016-02-11 21:03:00,2016-02-11 21:28:00,C8.9,12497
2016-02-11 23:54:00,2016-02-11 23:59:00,2016-02-12 00:02:00,C1.2,12492
2016-02-12 00:49:00,2016-02-12 00:53:00,2016-02-12 00:56:00,C1.2,12497
2016-02-12 06:27:00,2016-02-12 06:36:00,2016-02-12 06:55:00,C2.1,12492
2016-02-12 10:36:00,2016-02-12 10:47:00,2016-02-12 10:53:00,M1.0,12497
2016-02-12 17:10:00,2016-02-12 17:21:00,2016-02-12 17:27:00,C6.8,12497
2016-02-12 21:05:00,2016-02-12 21:10:00,2016-02-12 21:20:00,B7.5,12497
2016-02-12 22:04:00,2016-02-12 22:15:00,2016-02-12 22:25:00,B7.7,12497
2016-02-12 22:34:00,2016-02-12 22:39:00,2016-02-12 22:43:00,C3.0,12497
2016-02-13 00:20:00,2016-02-13 00:26:00,2016-02-13 00:32:00,B8.9,12497
2016-02-13 00:59:00,2016-02-13 01:03:00,2016-02-13 01:06:00,B8.0,12497
2016-02-13 06:46:00,2016-02-13 06:50:00,2016-02-13 06:54:00,B6.6,12497
2016-02-13 08:25:00,2016-02-13 08:31:00,2016-02-13 08:34:00,C1.3,12497
2016-02-13 10:04:00,2016-02-13 10:09:00,2016-02-13 10:13:00,C2.8,12497
2016-02-13 10:58:00,2016-02-13 11:01:00,2016-02-13 11:06:00,B8.5,12497
2016-02-13 13:32:00,2016-02-13 13:43:00,2016-02-13 13:58:00,B6.9,12497
2016-02-13 15:16:00,2016-02-13 15:24:00,2016-02-13 15:26:00,M1.8,12497
2016-02-13 18:50:00,2016-02-13 18:55:00,2016-02-13 19:02:00,C1.6,12497
2016-02-13 20:45:00,2016-02-13 21:05:00,2016-02-13 21:12:00,C2.5,12497
2016-02-13 21:29:00,2016-02-13 21:34:00,2016-02-13 21:40:00,C1.1,12497
2016-02-13 21:57:00,2016-02-13 22:01:00,2016-02-13 22:06:00,B9.5,12497
2016-02-13 22:07:00,2016-02-13 22:13:00,2016-02-13 22:16:00,C2.1,0
2016-02-13 23:41:00,2016-02-13 23:54:00,2016-02-14 00:02:00,B8.6,12497
2016-02-14 00:51:00,2016-02-14 00:58:00,2016-02-14 01:02:00,B9.6,12497
2016-02-14 01:18:00,2016-02-14 01:21:00,2016-02-14 01:26:00,C1.3,12500
2016-02-14 03:06:00,2016-02-14 03:17:00,2016-02-14 03:31:00,C1.1,0
2016-02-14 04:27:00,2016-02-14 04:39:00,2016-02-14 04:52:00,C3.4,12497
2016-02-14 08:30:00,2016-02-14 08:33:00,2016-02-14 08:36:00,C1.0,12497
2016-02-14 09:52:00,2016-02-14 10:25:00,2016-02-14 10:30:00,C6.9,12497
2016-02-14 11:53:00,2016-02-14 11:57:00,2016-02-14 12:01:00,C1.4,12497
2016-02-14 19:18:00,2016-02-14 19:26:00,2016-02-14 19:29:00,M1.0,12497
2016-02-14 21:10:00,2016-02-14 21:18:00,2016-02-14 21:27:00,C2.4,12497
2016-02-15 04:02:00,2016-02-15 04:19:00,2016-02-15 04:24:00,C3.9,12497
2016-02-15 05:27:00,2016-02-15 05:33:00,2016-02-15 05:38:00,C1.4,12497
2016-02-15 06:35:00,2016-02-15 06:38:00,2016-02-15 06:40:00,B6.4,0
2016-02-15 07:20:00,2016-02-15 07:23:00,2016-02-15 07:32:00,B9.1,12497
2016-02-15 08:26:00,2016-02-15 08:41:00,2016-02-15 08:46:00,C5.2,12497
2016-02-15 09:29:00,2016-02-15 09:35:00,2016-02-15 09:44:00,C2.3,12497
2016-02-15 10:41:00,2016-02-15 11:00:00,2016-02-15 11:06:00,M1.1,12497
2016-02-15 14:40:00,2016-02-15 15:04:00,2016-02-15 15:13:00,C3.3,12497
2016-02-15 17:14:00,2016-02-15 17:23:00,2016-02-15 17:27:00,C2.5,12497
2016-02-15 17:32:00,2016-02-15 17:36:00,2016-02-15 17:39:00,C1.6,12497
2016-02-15 17:46:00,2016-02-15 17:52:00,2016-02-15 18:00:00,C4.2,12497
2016-02-15 18:08:00,2016-02-15 18:12:00,2016-02-15 18:15:00,C2.2,0
2016-02-15 18:42:00,2016-02-15 18:46:00,2016-02-15 18:49:00,C2.9,12497
2016-02-15 19:31:00,2016-02-15 19:37:00,2016-02-15 19:41:00,C1.2,0
2016-02-15 19:46:00,2016-02-15 19:52:00,2016-02-15 19:55:00,C1.7,12497
2016-02-15 20:02:00,2016-02-15 20:06:00,2016-02-15 20:10:00,C1.6,12497
2016-02-15 20:53:00,2016-02-15 20:58:00,2016-02-15 21:05:00,C1.2,12497
2016-02-15 21:14:00,2016-02-15 21:40:00,2016-02-15 21:49:00,C4.1,12497
2016-02-16 01:45:00,2016-02-16 01:59:00,2016-02-16 02:04:00,C3.5,12497
2016-02-16 02:24:00,2016-02-16 02:28:00,2016-02-16 02:30:00,C1.2,0
2016-02-16 06:37:00,2016-02-16 06:45:00,2016-02-16 06:50:00,C2.4,12497
2016-02-16 07:49:00,2016-02-16 07:54:00,2016-02-16 07:59:00,C1.1,12497
2016-02-16 10:36:00,2016-02-16 10:39:00,2016-02-16 10:41:00,B7.7,12497
2016-02-16 11:34:00,2016-02-16 11:38:00,2016-02-16 11:46:00,B5.4,12497
2016-02-16 13:36:00,2016-02-16 13:52:00,2016-02-16 13:57:00,C1.9,12497
2016-02-16 15:29:00,2016-02-16 15:48:00,2016-02-16 15:53:00,C2.1,12497
2016-02-16 16:47:00,2016-02-16 16:50:00,2016-02-16 16:57:00,C1.2,12497
2016-02-16 18:44:00,2016-02-16 18:50:00,2016-02-16 18:53:00,C2.8,12497
2016-02-16 22:10:00,2016-02-16 22:15:00,2016-02-16 22:32:00,B8.2,12497
2016-02-16 22:51:00,2016-02-16 22:58:00,2016-02-16 23:01:00,C1.3,12497
2016-02-16 23:32:00,2016-02-16 23:37:00,2016-02-16 23:40:00,B9.8,12497
2016-02-17 00:41:00,2016-02-17 00:46:00,2016-02-17 01:00:00,B9.6,12497
2016-02-17 01:03:00,2016-02-17 01:10:00,2016-02-17 01:14:00,C1.4,12497
2016-02-17 01:44:00,2016-02-17 01:48:00,2016-02-17 01:50:00,C2.2,12497
2016-02-17 02:17:00,2016-02-17 02:20:00,2016-02-17 02:25:00,B9.8,12497
2016-02-17 02:33:00,2016-02-17 02:47:00,2016-02-17 02:55:00,C2.0,12497
2016-02-17 04:20:00,2016-02-17 04:23:00,2016-02-17 04:27:00,C1.0,12497
2016-02-17 04:33:00,2016-02-17 04:39:00,2016-02-17 04:43:00,B9.5,12497
2016-02-17 04:54:00,2016-02-17 05:01:00,2016-02-17 05:07:00,C9.4,12497
2016-02-17 05:43:00,2016-02-17 05:50:00,2016-02-17 05:53:00,C2.0,12497
2016-02-17 06:17:00,2016-02-17 06:22:00,2016-02-17 06:25:00,C2.9,12497
2016-02-17 07:52:00,2016-02-17 07:56:00,2016-02-17 07:59:00,B9.1,12497
2016-02-17 08:39:00,2016-02-17 08:43:00,2016-02-17 08:46:00,C1.7,12497
2016-02-17 09:54:00,2016-02-17 10:02:00,2016-02-17 10:09:00,C2.0,12497
2016-02-17 10:59:00,2016-02-17 11:04:00,2016-02-17 11:09:00,C1.0,12497
2016-02-17 11:30:00,2016-02-17 11:34:00,2016-02-17 11:37:00,C1.2,12497
2016-02-17 11:48:00,2016-02-17 11:52:00,2016-02-17 11:57:00,B8.1,12497
2016-02-17 12:28:00,2016-02-17 12:40:00,2016-02-17 12:56:00,C1.3,12497
2016-02-17 17:45:00,2016-02-17 17:51:00,2016-02-17 18:02:00,C1.2,12503
2016-02-17 18:06:00,2016-02-17 18:13:00,2016-02-17 18:19:00,C7.4,12497
2016-02-17 20:05:00,2016-02-17 20:22:00,2016-02-17 20:50:00,C4.6,12497
2016-02-17 21:52:00,2016-02-17 21:58:00,2016-02-17 22:02:00,C2.1,12497
2016-02-18 01:49:00,2016-02-18 01:58:00,2016-02-18 02:04:00,C7.2,12497
2016-02-18 04:01:00,2016-02-18 04:10:00,2016-02-18 04:21:00,C1.0,12497
2016-02-18 07:20:00,2016-02-18 07:27:00,2016-02-18 07:32:00,B7.8,12497
2016-02-18 16:07:00,2016-02-18 16:44:00,2016-02-18 17:21:00,C1.1,12497
2016-02-18 19:59:00,2016-02-18 20:25:00,2016-02-18 20:58:00,C1.2,12497
2016-02-18 21:08:00,2016-02-18 21:13:00,2016-02-18 21:17:00,C1.8,12501
2016-02-18 23:10:00,2016-02-18 23:15:00,2016-02-18 23:17:00,B4.9,0
2016-02-18 23:18:00,2016-02-18 23:30:00,2016-02-18 23:45:00,B7.1,12497
2016-02-19 00:03:00,2016-02-19 00:19:00,2016-02-19 00:53:00,C1.6,12497
2016-02-19 03:06:00,2016-02-19 03:21:00,2016-02-19 03:52:00,C2.0,0
2016-02-19 04:33:00,2016-02-19 05:08:00,2016-02-19 05:51:00,C2.1,12497
2016-02-19 08:49:00,2016-02-19 09:02:00,2016-02-19 09:21:00,C1.4,12497
2016-02-19 12:36:00,2016-02-19 12:40:00,2016-02-19 12:52:00,B4.0,12497
2016-02-19 17:49:00,2016-02-19 17:58:00,2016-02-19 18:06:00,C1.0,0
2016-02-19 22:49:00,2016-02-19 23:10:00,2016-02-19 23:18:00,C2.7,0
2016-02-20 00:49:00,2016-02-20 01:31:00,2016-02-20 01:42:00,B8.9,0
2016-02-20 06:49:00,2016-02-20 06:58:00,2016-02-20 07:11:00,B9.6,0
2016-02-20 08:04:00,2016-02-20 08:09:00,2016-02-20 08:13:00,B4.6,0
2016-02-21 04:23:00,2016-02-21 04:26:00,2016-02-21 04:29:00,B2.5,0
2016-02-21 07:43:00,2016-02-21 07:53:00,2016-02-21 07:55:00,B5.1,12505
2016-02-21 10:10:00,2016-02-21 10:13:00,2016-02-21 10:21:00,B2.9,12505
2016-02-21 13:00:00,2016-02-21 13:04:00,2016-02-21 13:08:00,B5.1,12505
2016-02-22 16:27:00,2016-02-22 16:31:00,2016-02-22 16:33:00,B4.0,12505
2016-02-22 18:41:00,2016-02-22 18:45:00,2016-02-22 18:47:00,B4.3,12506
2016-02-22 20:43:00,2016-02-22 20:55:00,2016-02-22 20:59:00,B8.7,12506
2016-02-23 01:01:00,2016-02-23 01:09:00,2016-02-23 01:13:00,B9.7,12506
2016-02-24 00:54:00,2016-02-24 01:01:00,2016-02-24 01:04:00,B3.0,12506
2016-02-24 01:13:00,2016-02-24 01:18:00,2016-02-24 01:20:00,B3.5,12506
